100	2	0
40	2	0
160	1.5	0
100	1.5	0
120	2	0
20	2	0
0	2	0
100	1.5	0
140	1.5	0
180	2	0
80	2	0
0	0	0
80	1	0
60	2	0
160	1	0
80	1	0
180	1	0
120	2	0
160	1	0
0	2	0
100	1.5	0
160	2	0
160	1	0
20	1.5	0
40	1.5	0
180	2	0
20	1.5	0
120	1	0
120	1.5	0
120	1	0
40	1	0
60	1	0
140	1.5	0
40	1.5	0
100	2	0
100	1.5	0
180	2	0
140	1	0
180	2	0
140	1	0
20	2	0
180	1.5	0
120	1	0
160	1	0
0	1.5	0
120	1.5	0
40	2	0
40	1.5	0
0	1.5	0
0	0	0
60	1	0
20	1	0
80	1	0
180	1	0
80	1.5	0
160	2	0
100	1	0
160	1.5	0
120	2	0
40	1.5	0
80	1.5	0
0	0	0
140	1	0
0	0	0
80	1.5	0
40	1	0
180	2	0
160	1	0
0	1	0
180	1	0
140	2	0
140	1.5	0
140	2	0
80	2	0
140	2	0
120	1.5	0
20	1.5	0
80	2	0
40	2	0
20	1	0
120	1	0
100	2	0
0	2	0
180	1	0
0	2	0
60	1.5	0
0	1.5	0
140	2	0
160	2	0
180	1.5	0
40	1	0
20	2	0
80	1	0
120	2	0
0	1.5	0
140	1.5	0
80	2	0
60	2	0
180	1.5	0
160	1.5	0
100	1	0
120	1.5	0
160	1.5	0
120	2	0
40	2	0
0	0	0
60	2	0
140	1.5	0
140	1	0
160	2	0
80	1.5	0
160	1.5	0
120	1.5	0
80	1	0
20	2	0
180	1	0
100	1	0
60	1.5	0
100	1	0
60	1.5	0
40	1	0
100	2	0
40	1.5	0
180	1.5	0
80	1.5	0
160	2	0
80	2	0
0	1	0
20	1.5	0
60	1	0
180	1.5	0
20	2	0
140	1	0
100	1	0
100	2	0
60	2	0
60	1	0
0	1.5	0
60	1.5	0
20	1	0
0	1	0
40	2	0
20	1	0
0	1	0
20	1	0
60	1	0
60	1.5	0
120	1	0
40	1	0
100	1.5	0
20	1.5	0
0	2	0
0	1	0
140	2	0
60	2	0
