80	2
80	3
40	2
80	3
40	3
60	2
120	1
120	3
20	2
20	1
120	2
100	1
0	2
80	2
40	1
0	1
60	2
0	1
80	3
120	3
20	2
0	3
20	2
120	3
20	1
80	2
100	1
120	2
60	1
160	3
140	1
180	1
40	3
120	2
120	1
160	3
180	3
140	3
0	1
100	2
20	2
180	2
80	3
100	2
140	2
140	1
160	2
60	3
100	2
120	1
0	3
100	3
140	1
60	1
40	1
160	2
20	1
180	2
100	1
140	1
100	1
160	3
40	3
100	3
140	1
0	0
140	3
160	1
100	3
40	3
180	3
100	2
20	3
140	2
40	2
80	1
60	3
40	1
20	1
120	2
60	1
180	3
100	3
180	2
140	2
0	3
60	1
160	1
0	0
0	0
120	1
0	0
180	2
180	1
100	3
160	2
20	3
0	3
0	2
40	2
180	1
60	2
120	1
0	2
0	2
140	2
160	1
60	3
120	3
80	2
100	1
60	3
80	1
160	2
20	3
180	3
40	2
20	3
60	2
160	1
160	1
120	3
60	2
0	1
40	1
80	1
0	3
80	2
60	1
40	3
180	1
180	1
40	1
80	1
140	3
140	3
20	3
160	2
20	2
140	2
40	2
20	1
80	3
0	1
120	2
180	2
160	3
80	1
0	2
0	0
100	2
60	3
140	3
180	3
160	3
