0	2
160	2
0	0
100	1.5
140	1.5
100	1.5
20	1.5
120	1.5
80	1.5
140	2
180	1
160	2
60	2
100	1.5
80	2
40	1.5
120	2
180	1.5
180	2
120	1
100	2
180	1
0	2
0	2
0	1.5
40	2
20	2
40	1.5
80	2
40	1.5
140	1.5
160	2
0	0
60	1
100	2
80	1
20	1.5
60	1.5
40	1
100	1.5
80	2
100	2
120	1.5
0	1
120	2
60	1.5
140	2
180	2
0	1.5
140	1
0	1
80	2
160	1
140	2
120	1.5
0	1.5
120	2
120	1.5
180	1
0	1
140	1
180	1.5
160	1.5
0	1.5
40	1.5
180	2
20	1.5
0	1
140	1.5
20	1.5
100	2
20	2
140	1
20	1.5
100	2
160	1
80	1
120	1
20	1
20	1
60	2
20	1
80	1.5
60	2
160	2
60	2
180	1
40	1
180	1.5
60	1
20	2
120	1
180	2
60	1.5
180	1.5
100	1
140	1
40	1
160	1
40	1
100	1
60	1
80	1.5
0	2
140	1.5
40	2
100	1
160	1.5
20	1
180	2
40	2
100	1.5
80	2
140	1.5
40	1.5
60	1.5
140	2
80	1
160	1.5
140	1
100	1
120	2
60	1.5
160	2
60	2
60	1
120	1
80	1
0	0
40	2
160	1.5
120	2
0	0
140	2
60	1
120	1
20	2
20	2
20	1
180	1.5
0	1.5
160	1
80	1.5
80	1
120	1.5
0	0
40	2
160	1
0	2
160	1.5
100	1
0	1
40	1
180	1
80	1.5
